0,0,0,0,0,0,0,0	1	(0, 0, 0, 0)
0,0,0,0,0,1,0,0	7	(0, 0, 0, 1)
0,0,1,0,0,0,0,1	49	(0, 0, 0, 2)
0,2,1,0,0,0,0,0	343	(0, 0, 0, 3)
0,0,1,0,1,1,0,1	117649	(0, 0, 0, 6)
0,0,1,0,1,1,0,1	17496	(3, 7, 0, 0)
1,2,1,1,0,0,1,0	823543	(0, 0, 0, 7)
3,0,2,1,0,1,1,1	282475249	(0, 0, 0, 10)
1,2,1,0,1,3,0,1	1977326743	(0, 0, 0, 11)
0,4,1,2,0,1,3,2	11398895185373143	(0, 0, 0, 19)
4,2,2,2,6,4,5,2	378818692265664781682717625943	(0, 0, 0, 35)
0,1,0,0,0,0,0,0	3	(0, 1, 0, 0)
1,0,0,0,0,0,0,0	21	(0, 1, 0, 1)
1,0,0,0,0,0,0,0	2	(1, 0, 0, 0)
1,0,0,0,0,0,0,0	12	(2, 1, 0, 0)
1,0,0,0,0,0,0,0	112	(4, 0, 0, 1)
0,0,1,0,0,1,0,0	147	(0, 1, 0, 2)
1,1,1,1,0,1,0,1	352947	(0, 1, 0, 6)
1,0,3,1,0,3,1,0	847425747	(0, 1, 0, 10)
4,0,3,1,1,0,2,2	14242684529829	(0, 1, 0, 15)
1,0,1,1,3,1,1,3	697891541961621	(0, 1, 0, 17)
1,1,2,3,3,0,1,3	34196685556119429	(0, 1, 0, 19)
1,1,5,1,2,3,1,2	11729463145748964147	(0, 1, 0, 22)
8,5,1,2,0,1,2,3	23192981159122333572411283221	(0, 1, 0, 33)
0,0,0,0,0,0,0,1	9	(0, 2, 0, 0)
0,1,0,0,1,0,0,0	63	(0, 2, 0, 1)
0,1,0,0,1,0,0,0	36	(2, 2, 0, 0)
0,0,2,0,0,0,0,0	441	(0, 2, 0, 2)
0,0,2,0,0,0,0,0	144	(4, 2, 0, 0)
1,1,0,1,1,0,0,0	151263	(0, 2, 0, 5)
0,0,1,0,0,2,2,0	7411887	(0, 2, 0, 7)
1,3,1,0,2,0,1,0	363182463	(0, 2, 0, 9)
4,0,2,1,0,2,0,0	2542277241	(0, 2, 0, 10)
2,3,4,1,1,1,4,2	35188389437246892441	(0, 2, 0, 22)
2,5,3,3,2,2,4,3	1419978438313612259535384687	(0, 2, 0, 31)
1,0,0,0,0,1,0,0	27	(0, 3, 0, 0)
1,0,0,0,0,1,0,0	72	(3, 2, 0, 0)
0,0,0,0,0,0,1,1	189	(0, 3, 0, 1)
0,0,0,0,0,0,1,1	98	(1, 0, 0, 2)
1,2,0,0,0,0,0,0	1323	(0, 3, 0, 2)
1,0,0,0,1,0,0,1	9261	(0, 3, 0, 3)
1,0,0,0,1,0,0,1	2916	(2, 6, 0, 0)
1,0,0,0,1,0,0,1	1296	(4, 4, 0, 0)
1,0,0,0,1,0,0,1	6912	(8, 3, 0, 0)
1,0,0,0,1,0,0,1	9216	(10, 2, 0, 0)
1,0,1,0,1,1,1,0	64827	(0, 3, 0, 4)
1,0,1,0,1,1,1,0	47628	(2, 5, 0, 2)
