gender,name
M,Paul Lukas
M,Robert Donat
M,Paul Muni
M,Victor McLaglen
M,Charles Laughton
M,Wallace Beery
M,Kurt Russell
M,Lionel Barrymore
M,Jeff Goldblum
M,Warner Baxter
M,Emil Jannings
M,Chris Cooper
M,Jim Broadbent
M,James Coburn
M,Cuba Gooding Jr.
M,Martin Landau
M,Jack Palance
M,Kevin Kline
M,Don Ameche
F,Kate Beckinsale
F,Zooey Deschanel
F,Michelle Williams
F,Milla Jovovich
F,Selena Gomez
F,Rachel Weisz
F,Kristen Bell
F,Katherine Heigl
F,Liv Tyler
F,Jessica Chastain
F,Megan Fox
F,Betty White
F,Geraldine Page
F,Eliza Dushku
F,Robin Wright
F,Leighton Meester
F,Jennifer Jones
F,Shirley Temple
F,Julia Louis-Dreyfus
F,Olivia Thirlby
F,Cher
F,Penélope Cruz
F,Louise Fletcher
F,Julie Christie
F,Patricia Neal
M,Haing S. Ngor
M,Louis Gossett Jr.
M,John Gielgud
M,Timothy Hutton
M,Melvyn Douglas
M,Jason Robards
M,George Burns
M,John Houseman
M,Ethan Hawke
M,Ben Johnson
M,John Mills
M,Gig Young
M,Jack Albertson
M,George Kennedy
M,Walter Matthau
M,Martin Balsam
M,Peter Ustinov
M,Ed Begley
M,George Chakiris
M,Hugh Griffith
M,Burl Ives
M,Red Buttons
M,Anthony Quinn
M,Edmond O'Brien
M,Frank Sinatra
F,Anne Bancroft
F,Kim Novak
F,Simone Signoret
F,Ellen Page
F,Angela Lansbury
F,Judy Holliday
F,Loretta Young
F,Shirley Jones
F,Vera Farmiga
F,Helen Hayes
F,Marie Dressler
F,Janet Gaynor
F,Lupita Nyong'o
F,Octavia Spencer
F,Melissa Leo
F,Mo'Nique
F,Marlee Matlin
F,Tilda Swinton
?,Jennifer Hudson
F,Renée Zellweger
F,Marcia Gay Harden
F,Anna Paquin
F,Marisa Tomei
F,Mercedes Ruehl
F,Brenda Fricker
M,Jean Reno
M,George Sanders
M,Dean Jagger
M,Walter Huston
M,Edmund Gwenn
M,Harold Russell
M,Hugh Grant
M,Barry Fitzgerald
M,Charles Coburn
M,Van Heflin
M,Donald Crisp
